festival,festivalLabel,participants,website,followers
http://www.wikidata.org/entity/Q9463,Nuits de Fourvière,,http://www.nuitsdefourviere.com/,
http://www.wikidata.org/entity/Q10957,Festival Lumière,,https://www.festival-lumiere.org/,
http://www.wikidata.org/entity/Q374895,Semaine de la critique,,http://www.semainedelacritique.com/,5690
http://www.wikidata.org/entity/Q386016,Festival du cinéma nordique de Rouen,,http://www.festival-cinema-nordique.asso.fr,
http://www.wikidata.org/entity/Q465682,Festival du court métrage de Clermont-Ferrand,,https://clermont-filmfest.org/,13368
http://www.wikidata.org/entity/Q568219,Festival international du film fantastique de Gérardmer,,http://www.gerardmer-fantasticart.com,
http://www.wikidata.org/entity/Q838403,Quinzaine des cinéastes,,https://www.quinzaine-cineastes.fr/,30709
http://www.wikidata.org/entity/Q969245,Festival international du film d'Amiens,,http://www.fifam.fr/,
http://www.wikidata.org/entity/Q1036445,Festival du film policier de Cognac,,http://www.festival.cognac.fr/,
http://www.wikidata.org/entity/Q1067115,Festival international des cinémas d'Asie de Vesoul,,http://www.cinemas-asie.com/,
http://www.wikidata.org/entity/Q1171050,Q1171050,,,
http://www.wikidata.org/entity/Q1408657,Festival du cinéma américain de Deauville,,https://www.festival-deauville.com/,
http://www.wikidata.org/entity/Q1408677,Festival international du film d'animation d'Annecy,,https://www.annecy.org/,45476
http://www.wikidata.org/entity/Q1479593,Fête de l'Humanité,,https://fete.humanite.fr/,11366
http://www.wikidata.org/entity/Q2535455,Festival international du film fantastique d'Avoriaz,,,
http://www.wikidata.org/entity/Q2722799,Festival des 3 Continents,,http://www.3continents.com/fr,
http://www.wikidata.org/entity/Q2936410,Cannes Classics,,,
http://www.wikidata.org/entity/Q2972063,Chéries-Chéris,,http://www.cheries-cheris.com,2831
http://www.wikidata.org/entity/Q2973088,Ciné en herbe,,http://www.cineenherbe.com,
http://www.wikidata.org/entity/Q2973176,cinéma du réel,,http://www.cinereel.org,
http://www.wikidata.org/entity/Q3024141,Des images aux mots,,http://www.des-images-aux-mots.fr/,
http://www.wikidata.org/entity/Q3033451,Doc en courts,,https://contactdocencourts.wixsite.com/monsite,
http://www.wikidata.org/entity/Q3045118,Désir... Désirs,,https://www.festival-desirdesirs.com/,
http://www.wikidata.org/entity/Q3066594,Fantastique semaine du cinéma,,http://www.samainfilmfestival.com,
http://www.wikidata.org/entity/Q3068443,Fenêtres sur le cinéma du Sud de Lyon,,https://www.institut-lumiere.org/francais/notules/cinesud.html,
http://www.wikidata.org/entity/Q3069830,"Festival ""Regards sur le cinéma du monde""",,http://www.touslescinemadumonde.eu,
http://www.wikidata.org/entity/Q3069862,Festival Besancourt,,http://www.besancourt.fr,
http://www.wikidata.org/entity/Q3069868,Festival Cannes et Banlieues,,,
http://www.wikidata.org/entity/Q3069871,Festival Cinespaña,,https://www.cinespagnol.com/,1745
http://www.wikidata.org/entity/Q3069876,Festival CinémaScience,,http://www.cnrs.fr/cinemascience/,
http://www.wikidata.org/entity/Q3069880,Itinérances - Festival Cinéma d'Alès,,http://www.itinerances.org/,
http://www.wikidata.org/entity/Q3069887,Festival Entrevues,,http://www.festival-entrevues.com/fr,
http://www.wikidata.org/entity/Q3069891,Festival Filmer le travail,,http://filmerletravail.org/,
http://www.wikidata.org/entity/Q3069907,Festival Jean-Carmet,,http://www.cinebocage.com/,
http://www.wikidata.org/entity/Q3069928,Festival Mamers en Mars,,http://www.mamers-en-mars.com,
http://www.wikidata.org/entity/Q3069967,Festival Paris Cinéma,,,
http://www.wikidata.org/entity/Q3069974,Festival Prototype Vidéo,,,
http://www.wikidata.org/entity/Q3069983,Festival Premiers Plans d'Angers,,http://www.premiersplans.org/festival/index.php,5620
http://www.wikidata.org/entity/Q3069992,Festival Résistances,,http://festival-resistances.fr/,
http://www.wikidata.org/entity/Q3069996,Festival Silhouette,,https://www.association-silhouette.com/,
http://www.wikidata.org/entity/Q3070013,Festival Travelling,,http://www.clairobscur.info,
http://www.wikidata.org/entity/Q3070030,Festival automobile international,,http://festivalautomobile.com/,
http://www.wikidata.org/entity/Q3070033,Festival cinéma muet et piano parlant d'Anères,,,
http://www.wikidata.org/entity/Q3070036,Festival Coupé Court,,,
http://www.wikidata.org/entity/Q3070037,Festival de court métrage Cas d'rage de Gagny,,,
http://www.wikidata.org/entity/Q3070099,Festival d'automne à Paris,,https://www.festival-automne.com/,11819
http://www.wikidata.org/entity/Q3070133,Festival de La Foa,,,
http://www.wikidata.org/entity/Q3070168,Festival du film grolandais,,http://fifigrot.com,
http://www.wikidata.org/entity/Q3070226,Festival de cinéma de Douarnenez,,http://www.festival-douarnenez.com/,
http://www.wikidata.org/entity/Q3070230,Les Arcs Film Festival,,http://lesarcs-filmfest.com,
http://www.wikidata.org/entity/Q3070267,Festival de la fiction TV,,https://www.festival-fictiontv.com/,
http://www.wikidata.org/entity/Q3070317,Festival des 24 courts,,https://24courts.com/,
http://www.wikidata.org/entity/Q3070318,Festival des 7 Collines,,http://www.festivaldes7collines.com/,
http://www.wikidata.org/entity/Q3070341,Festival international des Très Courts,,http://www.trescourt.com,
http://www.wikidata.org/entity/Q3070345,Festival des cinémas d'Irlande et de Grande-Bretagne,,,
http://www.wikidata.org/entity/Q3070388,Festival du cinéma chinois en France,,,
http://www.wikidata.org/entity/Q3070389,Festival du cinéma de Brive - Rencontres européennes du moyen métrage,,http://www.srf-moyenmetrageabrive.com/,
http://www.wikidata.org/entity/Q3070390,Festival du cinéma européen de Lille,,http://www.eurofilmfest-lille.com/,
http://www.wikidata.org/entity/Q3070431,festival du court-métrage de Fontainebleau,,http://festivaldebleau.free.fr/,
http://www.wikidata.org/entity/Q3070434,Festival du court métrage d'humour de Meudon,,http://www.festivalmeudon.org/,
http://www.wikidata.org/entity/Q3070435,Festival du court métrage en plein air de Grenoble,,https://www.cinemathequedegrenoble.fr/,
http://www.wikidata.org/entity/Q3070438,Festival du film Peplum,,,
http://www.wikidata.org/entity/Q3070439,Festival du film britannique de Dinard,,http://www.festivaldufilm-dinard.com,
http://www.wikidata.org/entity/Q3070442,Festival du film arabe de Fameck,,,
http://www.wikidata.org/entity/Q3070448,Festival du film asiatique de Deauville,,http://www.deauvilleasia.com,
http://www.wikidata.org/entity/Q3070459,Festival du film d'Afrique et des îles,,https://festivalfilmafriqueiles.fr,
http://www.wikidata.org/entity/Q3070460,Festival du film d'animation de Bègles,,http://www.lesnuitsmagiques.fr,
http://www.wikidata.org/entity/Q3070461,Festival du film d'animation de Baillargues,,,
http://www.wikidata.org/entity/Q3070463,Festival du film d'aventures de Valenciennes,,,
http://www.wikidata.org/entity/Q3070465,Festival du film d'Avignon,,,
http://www.wikidata.org/entity/Q3070467,Festival du film d'éducation,,http://www.festivalfilmeduc.net,
http://www.wikidata.org/entity/Q3070473,Festival du film de La Réunion,,,
http://www.wikidata.org/entity/Q3070475,Festival du film de Cabourg,,http://www.festival-cabourg.com/,
http://www.wikidata.org/entity/Q3070481,Festival du film de Sarlat,,http://www.festivaldufilmdesarlat.com,
http://www.wikidata.org/entity/Q3070486,Festival du film de Vendôme,,,
http://www.wikidata.org/entity/Q3070488,Festival du film de chercheur,,http://www.filmdechercheur.eu/,
http://www.wikidata.org/entity/Q3070489,Festival du film de vacances,,,
http://www.wikidata.org/entity/Q3070491,Festival du film de télévision de Luchon,,http://www.festivaldeluchon.tv/,
http://www.wikidata.org/entity/Q3070492,Festival du Film Environnemental,,https://ffeensip.com/,
http://www.wikidata.org/entity/Q3070503,Festival du film francophone d'Angoulême,,http://www.filmfrancophone.fr,
http://www.wikidata.org/entity/Q3070516,Festival du film italien de Villerupt,,http://www.festival-villerupt.com,
http://www.wikidata.org/entity/Q3070517,Festival du film scientifique de La Réunion,,,
http://www.wikidata.org/entity/Q3070519,Festival du film italien d'Annecy,,https://annecycinemaitalien.com/,
http://www.wikidata.org/entity/Q3070520,Festival du film web amateur,,,
http://www.wikidata.org/entity/Q3070523,Festival du grain à démoudre,,http://www.dugrainademoudre.net/,
http://www.wikidata.org/entity/Q3070532,Festival du premier film francophone de La Ciotat,,,
