id_festival,nom_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,site_internet_festival,adresse_mail_festival,decennie_creation_festival,annee_creation_festival,discipline_dominante_festival,sous-categorie_spectacle_vivant,sous-categorie_musique,sous-categorie_cinema_et_audiovisuel,sous-categorie_arts_visuels_et_numeriques,sous-categorie_livre_et_litterature,periode_principale_deroulement_festival,geocodage_xy_festival,geocodage_latitude_festival,geocodage_longitude_festival,,,,,,,,,,,,,,,,
5,Le Grand HUIT,,44109,9 Rue Sanlecque,,https://honolulu.oro.fr,administration@oro.fr,2010 et après,2016,Spectacle vivant,Danse,,,,,Après-saison (6 septembre - 31 décembre),"47.2316356767, -1.54831008605",47.2316356767,-1.54831008605,,,,,,,,,,,,,,,,
6,La Clé des Portes,Régionale,41253,18 rue du Château,,https://www.lacledesportes-festival.com,contact@lacledesportes-festival.com,De 2000 à 2009,2013,Musique,,"Musique classique, jazz, gospel et compositeurs contemporains également proposés au public",,,,Saison (21 juin - 5 septembre),"47.7683772018, 1.4383898244",47.7683772018,1.4383898244,,,,,,,,,,,,,,,,
7,FestiLoir,Intercommunale,72364,1 Rue Anatole Carré,,,paola.perseille@pays-valleeduloir.fr,De 2000 à 2009,2003,Spectacle vivant,"Cirque, Arts de la rue",,,,,Saison (21 juin - 5 septembre),"47.6723014522, 0.315373744758",47.6723014522,0.315373744758,,,,,,,,,,,,,,,,
8,Malices au Pays,Intercommunale,72364,1 Rue Anatole Carré,,,paola.perseille@pays-valleeduloir.fr,2010 et après,2015,Spectacle vivant,Théâtre,,,,,Avant-saison (1er janvier - 20 juin),"47.6723014522, 0.315373744758",47.6723014522,0.315373744758,,,,,,,,,,,,,,,,
9,Festival de rockabilly de Tarbes,Intercommunale,65440,23 Rue Paul Cézanne,Smac La Gespe,http://leguidedesfestivals.com/2018-rockabilly-tarbes-34895.html,contact@lagespe.com,2010 et après,2016,Musique,,rock pop,,,,Saison (21 juin - 5 septembre),"43.2347859635, 0.0660093937851",43.2347859635,0.0660093937851,,,,,,,,,,,,,,,,
10,Festival international d'Orgue de Caen,Communale,14118,1 rue du Carel,,https://conservatoire-orchestre.caen.fr/programmation?type_prog=1529,billetterie-orchestre@caenlamer.fr,De 2000 à 2009,2004,Musique,,Orgue,,,,Avant-saison (1er janvier - 20 juin),"49.1847936737, -0.369801713036",49.1847936737,-0.369801713036,,,,,,,,,,,,,,,,
11,Festival international de musique de chambre,Internationale,13103,Montée du puech,Château de l'emperi,https://festival-salon.fr,theatre@festival-salon.fr,De 1990 à 1999,1993,Musique,,Musique savante,,,,Saison (21 juin - 5 septembre),"43.6462885238, 5.06814649576",43.6462885238,5.06814649576,,,,,,,,,,,,,,,,
12,Le manteau de Brômes,Communale,4189,,Salle polyvalente,,,2010 et après,2010,Spectacle vivant,,,,,,Avant-saison (1er janvier - 20 juin),"43.7774768739, 5.96250175121",43.7774768739,5.96250175121,,,,,,,,,,,,,,,,
13,Journées BD,Communale,84074,,Association mérindol culture - maison des associations gilbert plat,,francoise.escallier@wanadoo.fr,2010 et après,2015,"Livre, littérature",,,,,,Après-saison (6 septembre - 31 décembre),"43.7619243813, 5.20153482914",43.7619243813,5.20153482914,,,,,,,,,,,,,,,,
14,Instants de Grasse,Communale,6069,,Jardins de la villa de fragonard,https://www.facebook.com/instantsdegrasse/,instantsdegrasse@gmail.com,2010 et après,2016,Musique,,Musique classique,,,,Saison (21 juin - 5 septembre),"43.655639428, 6.93190508233",43.655639428,6.93190508233,,,,,,,,,,,,,,,,
15,Un Doua de jazz,Communale,69266,20 Avenue A. Einstein,Maison des étudiants,,contact@undouadejazz.com,De 1990 à 1999,26ème,Musique,,"jazz, blues et musiques improvisées",,,,Après-saison (6 septembre - 31 décembre),"45.7707704179, 4.88845817426",45.7707704179,4.88845817426,,,,,,,,,,,,,,,,
16,La fête à Voltaire,Communale,1160,Mairie Avenue voltaire,Commune de Ferney-Voltaire,,,De 2000 à 2009,18ème,Spectacle vivant,,,,,,Saison (21 juin - 5 septembre),"46.2519789243, 6.10826403805",46.2519789243,6.10826403805,,,,,,,,,,,,,,,,
17,Salon du livre jeunesse Douai,Communale,59178,Rue Fortier,"Salles d'Anchin, Rue Fortier",,brouillonsculture@wanadoo.fr,De 1990 à 1999,1995,"Livre, littérature",,,,,"Jeunesse, lecture",Avant-saison (1er janvier - 20 juin),"50.3823195335, 3.09145683114",50.3823195335,3.09145683114,,,,,,,,,,,,,,,,
18,Apéros jazz du provencal,Communale,83069,,Hôtel restaurant le provençal,,victor.jazzaporquerolles@gmail.com,2010 et après,2010,Musique,,Jazz,,,,Saison (21 juin - 5 septembre),"43.1018713534, 6.18898508469",43.1018713534,6.18898508469,,,,,,,,,,,,,,,,
19,Fête du livre jeunesse de Montbrison,Communale,42147,13 Place Pasteur,"Association ""Centre Social"" de Montbrison",,,de 1980 à 1989,1984,"Livre, littérature",,,,,Fiction,Avant-saison (1er janvier - 20 juin),"45.6008365515, 4.0713982073",45.6008365515,4.0713982073,,,,,,,,,,,,,,,,
20,XX sur 20,Communale,75056,,,https://www.facebook.com/xxs20/,,,,Spectacle vivant,Danse,,,,,Avant-saison (1er janvier - 20 juin),"48.8567, 2.3508",48.8567,2.3508,,,,,,,,,,,,,,,,
21,Festival Saisons d’elles,Communale,31555,197 route de saint simon,Café culturel Sous un chapiteau sur la Place des Pradettes,https://www.follessaisons.com/festival-saisons-d-elles/,saisonsdelles@gmail.com,2010 et après,2018,Musique,,"musique, féministe et citoyen",,,,Après-saison (6 septembre - 31 décembre),"43.5963814303, 1.43167293364",43.5963814303,1.43167293364,,,,,,,,,,,,,,,,
22,Salon du livre de Wimereux,Communale,62893,Rue Sainte-Adrienne,"Salons des jardins de la baie Saint-Jean, rue Sainte-Adrienne",https://www.ville-wimereux.fr,culture@mairie-wimereux.fr,De 1980 à 1989,1989,"Livre, littérature",,,,,Généraliste,Après-saison (6 septembre - 31 décembre),"50.7792497892, 1.6134323131",50.7792497892,1.6134323131,,,,,,,,,,,,,,,,
23,Salon de la poésie et des arts,Communale,60229,230 Rue des Lombards,"Château du Fayel, 230 rue des Lombards",http://graines-de-mots.over-blog.com,graines.de.mots.60@gmail.com,2010 et après,2018,"Livre, littérature",,,,,Poésie,Avant-saison (1er janvier - 20 juin),"49.3722915111, 2.6969172661",49.3722915111,2.6969172661,,,,,,,,,,,,,,,,
24,Caravan'Square,Communale,59426,1 Place du Général De Gaulle,Hôtel de Ville,,fmagnier@neuville-en-ferrain.fr,2010 et après,2021,Musique,,"Chanson ou variété française, Hip-hop, rap, slam, Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Pop, rock, Le Caravan'Square se veut éclectique",,,,Saison (21 juin - 5 septembre),"50.7533162393, 3.15977251104",50.7533162393,3.15977251104,,,,,,,,,,,,,,,,
25,Midi Toulon festival,Communale,83137,106 bis Rue Paul marchelli,,https://www.midi-festival.com,info@midi-festival.com,De 2000 à 2009,,Musique,,"Pop, rock, rap, electro",,,,Après-saison (6 septembre - 31 décembre),"43.1361589728, 5.93239634249",43.1361589728,5.93239634249,,,,,,,,,,,,,,,,
26,Les vinestivales,Communale,83150,66 Avenue De la libération,,http://lesvinestivales.fr/,vintagemusicclub@gmail.com,2010 et après,2010,Musique,,Rock,,,,Saison (21 juin - 5 septembre),"43.7224277972, 5.80747605851",43.7224277972,5.80747605851,,,,,,,,,,,,,,,,
27,Festival de poésie de Beuvry,Communale,62126,37 Rue François Galvaire,"Domaine de Bellenville, 37 rue François Galvaire",https://www.maisondelapoesiehdf.fr,mapoesie.npdc@wanadoo.fr,2010 et après,2019,"Livre, littérature",,,,,Poésie,Après-saison (6 septembre - 31 décembre),"50.5328399462, 2.69176985674",50.5328399462,2.69176985674,,,,,,,,,,,,,,,,
