precision_sur_statut_edifice,statut_juridique_edifice,id_monument_historique
,propriété privée,36259
,propriété de la commune ; propriété privée,36885
,propriété privée,33630
,propriété de la commune,33631
,propriété de la commune,35817
propriété privée : Tour Dauphine,propriété de la commune ; propriété privée,33632
,propriété privée,33905
,propriété de la commune,33633
,propriété de la commune,33634
,propriété d'une société privée,33635
,propriété privée,33636
,propriété d'un établissement public,33637
,propriété privée,33638
,propriété de la commune,36843
,propriété de la commune,36886
,propriété de l'Etat,33648
,propriété de l'Etat,33639
,propriété de la commune,33640
,propriété privée,33643
,propriété privée,33646
,propriété de la commune,33645
,propriété privée,33647
,propriété privée,33641
,propriété de la commune,33644
,propriété d'une société privée,33642
,propriété privée,33649
,propriété privée,33918
,propriété de la commune,33650
,propriété de la commune,33651
,propriété privée,33652
,propriété privée,33653
,propriété de la commune,33654
propriété de l'Etat : église et premier cloître ; propriété de la commune : deuxième cloître; troisième cloître et grille d'entrée,propriété de l'Etat ; propriété de la commune,33655
,propriété de la commune,33658
,propriété de la commune,33680
,propriété de la commune,33683
,propriété de la commune,33661
,propriété privée,36873
,propriété de la commune,36882
,propriété de la commune,33682
,propriété privée,33662
,propriété privée,33668
,propriété privée,33669
,propriété de l'Etat,33660
,propriété de la commune,33659
,propriété privée,36855
,propriété privée,33670
,propriété privée,33671
,propriété d'une société privée,33663
,propriété de la commune,33664
,propriété privée,33672
,propriété privée,36890
,propriété privée,33656
,propriété privée,33673
,propriété privée,33674
,propriété privée,33675
,propriété privée,33676
,propriété de la commune,36887
,propriété privée,33681
,propriété privée,33677
,propriété privée,33665
,propriété privée,33679
,propriété de la commune,33678
,propriété du département,36876
,propriété privée,33666
,propriété privée,33667
,propriété de la commune,33657
,propriété de la commune,33684
,propriété de la commune,33685
,propriété de la commune,33687
,propriété de la commune ; propriété privée,33688
,propriété de la commune,33689
,propriété de la commune,33690
,propriété privée,33692
SCI RICAL,propriété d'une société privée,36877
"SCP ""SCI d'Epierre""",propriété d'une société privée,33691
,propriété privée,36881
,propriété privée,36859
,propriété privée,33693
,propriété privée,33694
