id_festival,site_internet_festival,adresse_mail_festival
2817,,j.lemerle@mjc-amberieu.org
5979,,information@theatre-ecriture.fr
150,https://www.ambronay.org,marina.roche-lecca@ambronay.org
1699,http://www.bluemonday01.com/,bluemonday01@orange.fr
6081,,bluemonday01@orange.fr
3036,,contact@cultivonslaperouze.org
4289,https://www.bddanslain.fr,festival@bddanslain.fr
5931,https://www.ballad-et-vous.fr/culture/musique/belley-les-festivete/,
6552,https://www.facebook.com/festivalaupaysdesamplis/,
44,http://groupenuits.com/index.php/festival/,production@collectif-stp.fr
1394,http://www.etac01.com,contactetac01@gmail.com
1713,http://le-zoom.com,contact@le-zoom.com
1934,,contact@resonancecontemporaine.org
2804,https://www.estivalesdebrou.net,estivales.brou@wanadoo.fr
2818,https://vraimentquinzainephoto.wordpress.com,danstachambre.aso@gmail.com
2933,https://culture.bourgenbresse.fr/actualites/vivre-une-soiree-culturelle-en-ligne-gratuite,
2991,https://www.festivalbourg.com,festivalbourg@yahoo.fr
4533,https://www.passaros.fr/lirregulier/,emilie.borgo@passaros.fr
4944,https://www.mjc-bourg.fr,accueil@mjc-bourg.fr
4959,https://www.estivalesdebrou.net,estivales.brou@wanadoo.fr
4986,,ainpertinentes@gmail.com
5903,http://domainedelagarde.fr,fvonkirchbach@gmail.clm
5999,https://www.monastere-de-brou.fr,brou@bourgenbresse.fr
7169,http://festivalyaop.wixsite.com/asso100,festivalyaop@free.fr
4985,https://b-www.facebook.com/events/530042888213078/,
3897,,contact@melodifoliz.com
142,https://www.revesdecirque.fr,direction@cslapasserelle.fr
1404,https://www.cuivresendombes.org,camille.marchalot@cuivresendombes.org
2930,https://dagneux-aime-la-musique.blogspot.com,dagneuxaimelamusique@gmail.com
2895,,dorignac.yannick@gmail.com
1069,,
5584,,info@festival-dvpm.org
5935,https://www.jazzafareins.com,contact@jazzafareins.com
5957,https://www.artfareins.com,contact@artfareins.com
16,,
768,http://www.bdpaysdegex.com/?fbclid=IwAR2RU0i29scfs2tzeOD0pyLtHSJyjLwE7viK-rYmjua2ar5d8fosHM0d-ZQ,
3001,,contact@eco-pratique.org
4910,https://soloist.academy,r-kareyev@soloist.academy
4973,,voltairesattic@gmail.com
6056,https://www.f5c.info,rush@festival5continents.org
7069,,festivalpaysdegex@gmail.com
45,https://www.festivaltotoutarts.com/,festival.totoutarts@cscleslibellules.fr
624,http://confrontations-photo.org/,olivier@confrontations-gessiennes.org
6937,https://chaudcommelabresse.jimdofree.com,maxime.charvet@hotmail.fr
1910,https://festival-nature-ain.fr,president@festival-nature-ain.fr
6639,https://www.festivaltheatrehauteville.fr,contact@festivaltheatrehauteville.fr
6112,https://www.journandises.com,contact@journandises.com
5711,,contact@01marionnettes.fr
6045,,fortlecluse@ccpg.fr
4949,http://www.leguidedesfestivals.com/index.php5?page=festival&festi=31352,
6014,https://www.facebook.com/lesnuitsdelapoterie,
6984,,levaldorphee01@orange.fr
607,,
5277,https://www.cinehorloge.fr,contact@cinehorloge.fr
6434,https://www.cinehorloge.fr,contact@cinehorloge.fr
1228,https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/1733,
4218,https://www.swing-sous-les-etoiles-miribel.com,association.swing_ccmp@yahoo.com
463,,contact@lalunealenvers.com
1211,https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2252,
769,,
2108,https://www.ohbugeyfestival.fr,association.chb@gmail.com
3208,http://streetarthautbugey.webnode.fr,contact@artinhautbugey.fr
5895,,contact@adara01.fr
7021,https://www.festivrac.com,festivrac@wanadoo.fr
7014,https://www.festiveyle.fr/,
1192,,
5919,https://www.sylakopenair.com,info@sylakopenair.com
312,https://www.festival-Perouges.org,communication@festival-perouges.org
107,https://www.engrangeonslamusique.fr,engrangeonslamusique@wanadoo.fr
6157,https://www.facebook.com/mairiedethoiry/posts/785415065497553/,mairie@mairie-thoiry.fr
2815,,comitact@gmail.com
1904,http://musicales.parcdesoiseaux.com,info@parcdesoiseaux.com
2005,https://www.mairievlm.fr/a545-festival-de-l-humour.html,
2960,https://www.facebook.com/viriatfestival,bullesetcompagnie@orange.fr
3265,https://www.danstonkulte.fr/,marie.sarron@hotmail.fr
1232,,festivalberzyk@gmail.com
202,https://braine.fr/,correspondance-des-arts@braine.fr
218,https://patrimoinevivant.org/,
442,https://www.festival-jeandelafontaine.com,michel-baroux@wanadoo.fr
639,https://www.echangeur.org,smartin@echangeur.org
1486,http://www.echangeur.org/,molivier@echangeur.org
1911,http://www.chateau-thierry.fr,claire.dubourg@ville-chateau-thierry.fr
5667,https://www.rockaisne.com,jeanmichelfondement@gmail.com
6763,http://www.cantonschante.com/,
3053,,lecture@picardiedeschateaux.fr
1764,https://www.musique-en-omois.com/,accueil@uccsa.fr
1705,https://www.mclgauchy.fr,direction.mcl@ville-gauchy.fr
4921,https://www.mclgauchy.fr,direction.mcl@ville-gauchy.fr
366,http://www.familijazz.com/,mailto:jazzthemis@orange.fr
1291,https://transfrontalieres.wordpress.com/,
1832,https://www.mclgauchy.fr,direction.mcl@ville-gauchy.fr
2967,https://www.facebook.com/begueefest,begueefest@gmail.com
374,https://cinejeune02.wordpress.com/,contact.cinejeune02@free.fr
1484,https://www.jazztitudes.org/,contact@jazztitudes.org
1697,https://festival-laon.fr/,
3041,https://fr-fr.facebook.com/people/Plouckstock-Festival-Staff-Volfonis/100063138223474,
378,,lecture@picardiedeschateaux.fr
6149,https://bobinesrebelles05.jimdofree.com/,bobines.rebelles@laposte.net
6443,https://www.picartsfestival.com/,
1609,https://mortyjazz.wordpress.com/,
2979,https://www.compagnieisis.fr/,contact@compagnieisis.fr
629,https://droitdecite.com/,manon.defrancq@droitdecite.com
6063,https://www.facebook.com/Festival-du-livre-et-de-la-BD-de-Saint-Gobain-02-247258965753050,association.localupe@gmail.com
6102,,vieassociative@associationgaia.org
5972,https://www.festival-saint-michel.fr,festival.saintmichel@laposte.net
1482,https://www.hautsdefranceenscene.fr/2022-page-festival,hdfenscene@gmail.com
3420,https://www.leselyziks.fr/,leselyziks@gmail.com
6514,https://www.festival-picarts.com,admin@festival-picarts.com
603,https://lire-en-soissonnais.fr,grasset.raymond@gmail.com
2984,,contact@cirquejulesverne.fr
2925,https://www.facebook.com/festivaldurirevervins/,
5626,http://chateaudelaugere.fr/le-son-et-lumieres,<chateaudelaugere@hotmail.fr>.
2889,https://www.unidivers.fr/event/7eme-festival-du-collectif-allela-avermes-03000-2022-06-11/,allela.assoc@gmail.com
148,https://www.ville-bellerive-sur-allier.fr,culture@ville-bellerive.com
5385,,legendesetdetours@wanadoo.fr
6105,https://www.lyonne.fr/egriselles-le-bocage-89500/actualites/festibocage-voit-le-jour_14126019/,3ballier@gmail.com
4538,http://www.wepachaba.fr/,wepachaba@gmail.com
5694,"https://lachavannee.com/wp/nos-fetes/fete-des-chavans/#:~:text=La%20F%C3%AAte%20des%20Chavans%20a,et%20dimanche%2031%20juillet%202021.",
2855,,appeldairs@hotmail.com
1868,http://www.leguidedesfestivals.com/2019-festival-dherisson-38106.html,le-p-tit-bastringue@orange.fr
2911,,mjc.cosnedallier@gmail.com
1869,http://leguidedesfestivals.com/2019-nuits-dete-37334.html,culture@ville-cusset.fr
3636,https://ville-cusset.com,elise.mazioux@ville-cusset.fr
1939,,festidomp@hotmail.fr
5000,https://www.rencontres-cinema-nature.eu/,cistudesetcompagnie@gmail.com
1077,https://www.lecrea.fr/action-culturelle/festival-il-etait-une-voix/,
1030,,
1389,,informations@gannat.com
1840,https://www.festival-musique-bourbonnais.com,
462,https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/2046,
2935,https://www.spectacle-lapalisse.com/,samantha@lapalissetourisme.com
4076,https://109montlucon.com/actualite/jazz-au-fil-du-cher-2022-decouvrez-la-programmation/,marie-jose.gaume@orange.fr
544,https://www.unetedansmonvillage.com/,contact@attrape-sourire.fr
5934,https://www.footsbarn.com/footsbarn-en-fete-2022/,fredrickahayter@gmail.com
670,,t.feriani@mairie-montlucon.fr
1485,,
4990,https://www.chabriole.fr/,
73,,
6034,,lecafournio@gmail.com
90,http://festibd.fr,
1230,https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/1879,
1393,,"lesmalcoiffes@orange,fr"
3361,https://www.cinebocage.com,festivaljc@cinebocage.com
7164,,contact@solistes-de-demain.com
5813,https://valdessingeserrant.wixsite.com/les-singes-errants?fbclid=IwAR1_KV4kOixZ5,valdessingeserrants@hotmail.com
2948,https://fr-fr.facebook.com/7%C3%A8me-festival-du-rire-Fernand-Raynaud-2022-184670985064971/,
1953,https://www.ville-saint-yorre.fr/,mairie@ville-saint-yorre.fr
470,https://auvergnerhonealpes-livre-lecture.org/annuaires/manifestations/1888,
926,https://www.souvigny.com,
2832,https://souvigny-festival.com/,souvigny.festival@orange.fr
1368,https://www.jazzdanslebocage.com,festivalbocage@gmail.com
5800,,cdftronget@live.fr
319,https://www.musiquesvivantes.com/,gestion.musiquesvivantes@gmail.com
1229,,
1599,http://www.musiquesvivantes.com/,contact@musiquesvivantes.com
1702,,procedezebre.prod@gmail.com
3081,,
3263,https://www.ville-vichy.fr/opera/festival,mairie@ville-vichy.fr
6067,http://www.musiquesvivantes.com/,administration@musiquesvivantes.com
1908,https://www.hadratrancefestival.net,lena@hadra.net
7064,https://chateauperche.com,festival@perchepolis.com
883,https://pre-textes.fr/caravane/,
1222,https://www.rom-game.fr/agenda/4633-Fana+Manga+2022.html,
2160,http://grainedemai.free.fr,chabert.huss@wanadoo.fr
2854,https://www.valdallos.com,info@valdallos.com
141,https://www.festivaldupaon.com,festivaldupaon@gmail.com
110,https://www.barcelonnette.com,info@barcelonnette.com
920,https://www.barcelonnette.com,info@barcelonnette.com
7146,http://www.theatredurance.fr,lalettre@theatredurance.fr
7170,,mediatheque-chateau@ccmd04.fr
1831,,lespleiades@orange.fr
4883,https://www.cruisenjazz.fr,contact@cruisenjazz.fr
2050,,culture@dignelesbains.fr
2965,https://www.unautrecinema.com,cine-dignelesbains@wanadoo.fr
5930,https://www.unautrecinema.com,cine-dignelesbains@wanadoo.fr
6082,,potesofthetop@gmail.com
6162,,culture04@laligue-alpesdusud.org
365,https://www.rmhp.fr,contact@rmhp.fr
1078,,labaleinequiditvagues@mailo.com
1561,https://www.cooksound.com,infos@cooksound.com
1874,,corpsespacecreation@hotmail.com
6057,,festigreoux@orange.fr
4935,https://www.delure.org,info@delure.org
793,https://eclatdelire.eu/,eclatdelire@gmail.com
923,https://www.boucheaoreillesmanosque.org,boucheaoreilles.manosque@gmail.com
1856,,amisjeangiono@orange.fr
2903,https://www.fondationcarzou.fr,fondationcarzou@gmail.com
5987,https://www.correspondances-manosque.org,contact@correspondances-manosque.org
6015,https://WWW.culturedlva.fr,bsourice@dlva.fr
6137,https://blues-et-polar.com,contact@blues-et-polar.com
6622,,
7108,https://www.moustiers.fr,info@moustiers.fr
1928,https://librairiejaubert.canalblog.com,librairiejaubert@free.fr
12,,
1423,,gillesgressard@yahoo.fr
6062,https://www.ville-sainte-tulle.fr/,communication@saintetulle.fr
4893,,contact@festival-en-sausses.com
3572,https://www.seynelesalpes-tourisme.com,jean-marc.coquin@wanadoo.fr
1248,http://festival-simiane.com,festivalaccueil@gmail.com
4672,,service-culture@sisteron.fr
322,https://www.musicales-de-ristolas.org,contact@musicales-de-ristolas.org
7143,https://www.musiqueyras.org,caroline@musiqueyras.org
309,,marie-laure.marfoure@ville-argentiere.fr
321,,bonnardel@wanadoo.fr
1841,,bibliotheque@ville-argentiere.fr
454,,
4745,,hymnedespoetes@hotmail.fr
143,,
476,https://www.altitudejazz.com,festival@altitudejazz.com
6106,http://www.ville-briancon.fr/evenements-phares,raphaelfaure05@gmail.com
6120,https://www.serre-chevalier.com,info@ot-briancon.fr
7144,,jllejeune@wanadoo.fr
3976,https://www.ceillac.com,lesamisdeceillac@ceillac.com
1937,https://www.jazzandcheese.fr,jazzandcheese@gmail.com
2198,,tintamarre05@hotmail.com
1392,http://feesdhiver.fr/feeriesNocturnes.htm,
131,,
1766,,
3054,https://www.ville-embrun.fr,culture@ville-embrun.fr
5580,https://www.serreponcon-tourisme.com,animation@ville-embrun.fr
5982,https://www.ville-embrun.fr,maisondeschanonges@ville-embrun.fr
6093,https://www.tradinfestival.com,assokaya@free.fr
6136,https://www.ville-embrun.fr,culture@ville-embrun.fr
2839,,helene.richaud@yahoo.fr
302,https://www.theatre-la-passerelle.eu/Festival-Tous-dehors-enfin-16,accueil@theatre-la-passerelle.com
613,https://www.ville-gap.fr,francoise.carbonero@ville-gap.fr
1064,https://www.ville-gap.fr,francoise.carbonero@ville-gap.fr
1818,,cim@cimalpes.fr
1875,https://www.theatre-la-passerelle.eu,accueil@theatre-la-passerelle.com
1977,https://www.facebook.com/etabli05/,etabli@riseup.net
1980,,thierry.gontard@hautes-alpes.fr
2871,https://www.mobilidees.org,contact@mobilidees.org
3038,,cim@cimalpes.fr
3910,,stephane.mansuy@ville-gap.fr
5878,https://www.utlgap.org,deslivresetvous.gap@gmail.com
6949,https://www.mediatheque-gap.fr,stephane.mansuy@ville-gap.fr
3911,https://www.festival-messiaen.com,contact@festival-messiaen.com
6208,https://www.rencontreshauteromanche.com,contact@rencontreshauteromanche.com
6085,https://www.musicales-guil.com,amm05@orange.fr
2779,,
3083,https://www.ville-de-laragne.fr/,muriel.isoard@mairie-laragne.fr
3173,http://www.tourisme-laragne.fr/,muriel.isoard@mairie-laragne.fr
6071,,tangomovimiento.tm@gmail.com
6274,http://www.pianodulac.fr/,voel.martin@gmail.com
238,http://verticalete.free.fr,asso.ascendanse05@gmail.com
316,https://www.festivalclaree.com,accueil-tourisme-nevache@orange.fr
2241,https://www.lesorres.com,ot.accueil@lesorres.com
3077,https://associationherezik.wixsite.com/lesenvoyageurs,associationherezik@gmail.com
4993,http://www.helealea.com,helealea@gmail.com
928,https://musiques-en-ecrins.com,musiquesenecrins@gmail.com
3078,,
4496,https://www.tourisme-lavallouise.com,
3703,http://www.helealea.com,helealea@gmail.com
2892,https://www.risoul.com,
7158,https://www.risoul.com,risoul@touristravacances.com
434,,daniele.rothenmacher05@orange.fr
5894,http://www.ville-briancon.fr,
266,,ot@ledevoluy.com
4774,https://festival-image-devoluy.com,animation@ledevoluy.com
5088,https://www.musiqueendevoluy.com,vero.filippi@gmail.com
465,https://www.champsaur-valgaudemar.fr,
466,https://www.champsaur-valgaudemar.com,
1006,,direction@festivalechodesmots.fr
443,,direction@festivaldechaillol.com
383,,j.bouhaben@orange.fr
1057,https://www.orchestre-opus.fr,gerard-05@wanadoo.fr
445,https://www.violoncellesenfolie.com,contact@violoncellesenfolie.com
61,,labelnoteprod@gmail.com
91,https://www.theatre-tribunal.fr,info@mediatheque-casa.fr
1068,https://www.antibesjuanlespins.com,depetris.philippe@orange.fr
1236,https://www.theatre-tribunal.fr,contact@theatredelamarguerite.fr
1258,https://www.antibesjuanlespins.com,festival.artsacre.antibes@orange.fr
1263,,accueil@antibesjuanlespins.com
1816,https://www.palaisdesfestivals.com,sortiracannes@palaisdesfestivals.com
2841,https://www.antibesjuanlespins.com,accueil@antibesjuanlespins.com
2863,,francoise.ollivier9@gmail.com
2886,https://www.festival-crossover.com,benoit.geli@panda-events.com
2994,https://acla06.com/deantibulations,acla06@gmail.com
3017,https://www.breakthefloor.fr,sortiracannes@palaisdesfestivals.com
4172,https://www.cannes-destination.fr,sortiracannes@palaisdesfestivals.com
4364,https://www.jazzajuan.com,jazzajuan@antibesjuanlespins.com
4884,https://www.antibesjuanlespins.com,accueil@antibesjuanlespins.com
4912,http://ecoleenchoeur.tumblr.com/,mic@ac-nice.fr
4922,,contact@bigreggaefestival.com
5465,https://www.feteduchateau.com,fedepcf06@gmail.com
5891,https://www.departement06.fr,soirees-estivales@departement06.fr
6095,https://www.antibesjuanlespins.com,accueil@antibesjuanlespins.com
6108,,contact@mjcranguin.fr
6232,https://www.festival-pyrotechnique-cannes.com,sortiracannes@palaisdesfestivals.com
69,,julie.marot11@gmail.com
5949,https://www.auribeausursiagne.fr,c.billiet@mairie-auribeau.fr
2962,,office.tourisme@beaulieusurmer.fr
6029,https://www.otbeaulieusurmer.com,catherine.mol@beaulieusurmer.fr
7090,https://www.beaulieusurmer.fr,office.tourisme@beaulieusurmer.fr
7160,https://www.beaulieuclassicfestival.com,chrys.couturier@outlook.com
4942,https://www.villedebeausoleil.fr,culture.animation-villedebeausoleil@wanadoo.fr
3895,https://www.biot.fr,evenements@biot.fr
4943,https://www.biot.fr,eac@biot.fr
2337,https://www.festivaldupeu.org/,asso@festivaldupeu.org
2819,,breil-tourisme@menton-riviera-merveilles.fr
616,,contact@mandopolis.org
1849,https://www.ma-mediatheque.net,info@mediatheque-casa.fr
3902,https://www.directoproductions.com/fr/production/festival-dete-le-broc/,
4997,,festivalmarsauxmusees@gmail.com
6160,https://www.cagnes-sur-mer.fr,n.vincent@cagnes.fr
7111,https://www.cagnes-sur-mer.fr/,nous-contacter@cagnes.fr
70,https://www.cannes.com/fr/culture/mediatheques-et-bibliotheques.html,mediatheques@ville-cannes.fr
121,https://www.cannes.com/fr/culture/mediatheques-et-bibliotheques.html,mediatheques@ville-cannes.fr
1315,https://www.cannes-cinema.com,aurelie.ferrier@cannes-cinema.com
1335,https://www.cannes-cinema.com,aurelie.ferrier@cannes-cinema.com
1710,https://www.festivaldedanse-cannes.com,lara@palaisdesfestivals.com
1752,,
1782,https://www.cannes-cinema.com,aurelie.ferrier@cannes-cinema.com
1852,https://cannes-cinema.com,contact@cannes-cinema.com
1959,,cinecroisette@gmail.com
1976,https://www.cannes-destination.fr,sortiracannes@palaisdesfestivals.com
2806,https://www.canneseries.com,cb@canneseries.com
2993,https://www.festival-pyrotechnique-cannes.com,lara@palaisdesfestivals.com
3014,https://www.fifp.fr,contact@fifp.fr
3037,https://mjcpicaud.fr,contact@mjcpicaud.fr
3465,,cinecroisette@gmail.com
3923,https://www.lesouvreurs.com,benoitarnulf@yahoo.fr
4505,,cinecroisette@gmail.com
4545,,contact@plages-electroniques.com
4899,,cinecroisette@gmail.com
5728,https://festivaldesjeux-cannes.com,lara@palaisdesfestivals.com
5844,http://canneseries.com/fr/,contact@canneseries.com
6041,,clara.bonetti@cannes-cinema.com
6068,https://www.cannes.com/fr/culture/mediatheques-et-bibliotheques.html,katia.pavigna@ville-cannes.fr
6107,,cdcccfilmclub@gmail.com
6143,,cinecroisette@gmail.com
7104,,cinecroisette@gmail.com
3071,https://www.cap-dail.fr,culture-xd@cap-dail.fr
7086,https://www.cap-dail.fr,communication@cap-dail.fr
203,http://cinealma.fr/,contacts@cineactions.com
898,https://www.forumcarros.com,contact@forumcarros.com
2192,https://www.ville-carros.fr,mairie@ville-carros.fr
3973,https://www.ville-carros.fr,culture@ville-carros.fr
7145,https://www.ville-carros.fr,culture@ville-carros.fr
7092,https://www.festivalmandoline.fr,contact@festivalmandoline.fr
4034,https://www.ville-chateauneuf.fr,martine.lipuma@mairie-chateauneuf.fr
6043,https://www.ville-chateauneuf.fr,martine.lipuma@notaires.fr
4882,http://coartjazz.fr,jean-marie@coartjazz.fr
6733,,amourier@wanadoo.fr
2778,,infos@ot-lacollesurloup.com
149,,contact@opus-opera.com
1412,,opus-opera@wanadoo.fr
205,,alex.benvenuto@wanadoo.fr
4988,,1maxdebruit@gmail.com
6390,,lacompagniepantai@gmail.com
14,https://www.facebook.com/instantsdegrasse/,instantsdegrasse@gmail.com
2525,,tourisme@biot.fr
6249,,pierre.bailet@free.fr
2089,https://WWW.MANDELIEU.FR,c.rolando@mairie-mandelieu.fr
4053,,contactvivonslesmots@gmail.com
7135,https://WWW.MANDELIEU.FR,c.rolando@mairie-mandelieu.fr
1265,https://www.festival-musique-menton.fr,jerome.bonard@ville-menton.fr
1917,https://www.menton.fr/Ma-ville-est-Tango.html,tourisme@ville-menton.fr
5941,,secretariatlelien.ndr@gmail.com
1885,,chateau_concerts@yahoo.fr
4926,,festivaldulivre@mouans-sartoux.net
6019,https://www.compagnieducedrebleu.com,brigitte.msellati@orange.fr
2798,https://www.mougins.fr,contact@scene55.fr
2861,https://www.mougins.fr,culture@villedemougins.com
3074,https://www.mougins.fr,culture@villedemougins.com
3926,,gthireit-lansac@villedemougins.com
388,,elsa@botoxs.fr
767,https://www.regardindependant.com,regardindependant@gmail.com
818,https://www.commedia-nice.com,fredericrey@lasemeuse.asso.fr
1071,https://sept-off.org/,7off.orga@gmail.com
1226,,jen.culturecole@gmail.com
1359,https://niceclassiclive.com,concert@aien.fr
1435,,polychromes@polychromes.fr
1716,https://www.lesplagesdurire.com,contact@directoproductions.com
1844,,elacroix@departement06.fr
1986,https://trans-lm.jimdofree.com/festival-1/,production.diffusion.cie.trans@gmail.com
1987,,septoff@aliceadsl.fr
2266,,projetcluster@hotmail.fr
2571,http://nice-fictions.fr/,contact@nice-fictions.fr
2710,http://www.espacemagnan.com/,alexandra.auffret@espacemagnan.com
3002,http://www.espacemagnan.com/,alexandra.auffret@espacemagnan.com
3007,https://www.cirm-manca.org,info@cirm-manca.org
3915,,contact@mikrosillons.com
3940,https://www.femmesenscenes.com,femmesenscenes@gmail.com
4621,https://www.signes-creation.org,signes@gmx.fr
4953,,aventuretheatre@gmail.com
4991,https://www.nicejazzfestival.fr,info@nicejazzfestival.fr
5115,https://lacremefestival.com,robincassuto@gmail.com
5741,,benoitarnulf@yahoo.fr
5885,https://www.ufctc.com,organisation@nicefilmfestival.com
6020,,courrier@espacemagnan.com
6061,https://lefestivaldulivredenice.com/,stephane.perottino@ville-nice.fr
6458,,michel.seonnet@gmail.com
6999,,contact@ipanemamusic.fr
7089,https://www.facebook.com/festivaldetelebroc/,communication@directoproductions.com
7128,,contact.afuca@gmail.com
4404,https://www.mairie-opio.fr,charles.arzounian@orange.fr
6892,https://mpocom.com,info@mpocom.com
3531,,gilles.riem@orange.fr
4957,,scenedecirque@gmail.com
5008,,jean.louis@netcourrier.com
2564,,mimetenfetes@orange.fr
5945,https://www.lectureenfete.com,otroquebrunecm@live.fr
3331,https://www.pistedazur.org,contact@pistedazur.org
3908,https://www.ma-mediatheque.net,info@mediatheque-casa.fr
6113,http://cietene.wixsite.com/cie-tene/festival,cie.tene@gmail.com
5090,,passeursdelivres06@gmail.com
6036,,contact@sadlr.fr
2743,https://www.festi-jazz.org,cezairejazz@gmx.fr
4915,https://www.saintcezairesursiagne.fr,culturestcezaire@wanadoo.fr
3579,,amisduchateau06690@gmail.com
3873,https://www.saintetiennedetinee.fr,c.mattei@saintetiennedetinee.org
1949,http://www.saintjeancapferrat-tourisme.fr/,office-tourisme@saintjeancapferrat.fr
1079,,brigitte.belhassen@saintlaurentduvar.fr
1866,,brigitte.belhassen@saintlaurentduvar.fr
2800,,niceguitarfestival@gmail.com
6833,https://www.festivalsaintpauldevence.com,julienkieffer.festivalstpaul@yahoo.fr
3929,,infos@sospel-tourisme.com
1694,,pascale.sainte-rose-fanchine@wanadoo.fr
2971,,graziella.de-martino@laposte.net
7107,https://www.festival-cinegrasse.org,festivallapremierefois@gmail.com
6885,,theatretouet@gmail.com
2538,,silvia.origlia@libello.com
4688,https://www.ville-valbonne.fr,mairie@ville-valbonne.fr
5358,https://www.ville-valbonne.fr,ctocut@ville-valbonne.fr
1850,https://www.colmiane.com,otcolmiane@wanadoo.fr
5924,,trait-union06@orange.fr
147,https://www.facebook.com/festivalfantasyvallauris,culture@vallauris.fr
363,https://www.facebook.com/ExpressionsUrbainesVallauris,
989,,jbourboujas@vallauris.fr
1500,https://www.facebook.com/Les-Tr%C3%A9teaux-de-VENCE-986646798114977/,fhvf@orange.fr
2853,https://www.marathondufilm.fr,artsept@laposte.net
4940,https://www.nuitsdusud.com,nuitsdusud@ville-vence.fr
