id_festival,decennie_creation_festival,annee_creation_festival,periode_principale_deroulement_festival
2774,De 1990 à 1999,01/01/1991 00:00,Saison (21 juin - 5 septembre)
4158,De 1990 à 1999,1991,Saison (21 juin - 5 septembre)
4489,De 2000 à 2009,,Saison (21 juin - 5 septembre)
5028,De 2000 à 2009,2009,Après-saison (6 septembre - 31 décembre)
2817,De 2000 à 2009,2007,Saison (21 juin - 5 septembre)
5979,2010 et après,2010,Avant-saison (1er janvier - 20 juin)
150,De 1980 à 1989,1980,Après-saison (6 septembre - 31 décembre)
5398,De 2000 à 2009,2009,Avant-saison (1er janvier - 20 juin)
5399,De 2000 à 2009,2001,Saison (21 juin - 5 septembre)
5765,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
1699,De 2000 à 2009,,Avant-saison (1er janvier - 20 juin)
6081,De 2000 à 2009,2003,Avant-saison (1er janvier - 20 juin)
3036,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
2982,De 2000 à 2009,01/01/2008 00:00,Saison (21 juin - 5 septembre)
4289,De 1990 à 1999,1996,Après-saison (6 septembre - 31 décembre)
3227,De 1990 à 1999,1996,Avant-saison (1er janvier - 20 juin)
5931,De 2000 à 2009,2009,Saison (21 juin - 5 septembre)
3564,2010 et après,,Après-saison (6 septembre - 31 décembre)
3031,De 2000 à 2009,01/01/2002 00:00,Après-saison (6 septembre - 31 décembre)
6037,De 2000 à 2009,01/01/2002 00:00,Avant-saison (1er janvier - 20 juin)
2767,2010 et après,,Avant-saison (1er janvier - 20 juin)
3259,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
3425,De 1990 à 1999,1996,Après-saison (6 septembre - 31 décembre)
3736,De 1990 à 1999,1999,Avant-saison (1er janvier - 20 juin)
4864,De 1980 à 1989,1987,Avant-saison (1er janvier - 20 juin)
4895,De 1990 à 1999,01/01/1992 00:00,Saison (21 juin - 5 septembre)
5689,De 2000 à 2009,2009,Saison (21 juin - 5 septembre)
6523,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
7056,De 1980 à 1989,1988,Après-saison (6 septembre - 31 décembre)
6552,2010 et après,,Avant-saison (1er janvier - 20 juin)
44,De 2000 à 2009,,Après-saison (6 septembre - 31 décembre)
1394,De 1990 à 1999,1997,Après-saison (6 septembre - 31 décembre)
1713,2010 et après,,Après-saison (6 septembre - 31 décembre)
1934,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
2804,De 1990 à 1999,,Saison (21 juin - 5 septembre)
2818,2010 et après,2018,Après-saison (6 septembre - 31 décembre)
2933,Avant 1980,1979,Avant-saison (1er janvier - 20 juin)
2991,De 1980 à 1989,,Après-saison (6 septembre - 31 décembre)
4533,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
