id_festival_wikidata,nom_festival_wikidata,site_internet_festival_wikidata,nombre_de_followers,id_follower_festival_wikidata
http://www.wikidata.org/entity/Q102150822,Festival des écoles de théâtre d'Europe,,,1
http://www.wikidata.org/entity/Q10317566,Q10317566,,,2
http://www.wikidata.org/entity/Q1036445,Festival du film policier de Cognac,http://www.festival.cognac.fr/,,3
http://www.wikidata.org/entity/Q104641261,Carnaval d'Aix-en-Provence,,,4
http://www.wikidata.org/entity/Q105474930,carnaval de Céret,,,5
http://www.wikidata.org/entity/Q105675441,Biennale de la Biche,http://biennaledelabiche.org,,6
http://www.wikidata.org/entity/Q106446432,Festival Paroles citoyennes,https://www.parolescitoyennes.com/,,7
http://www.wikidata.org/entity/Q106602898,Maghreb-Orient des livres,,,8
http://www.wikidata.org/entity/Q1067115,Festival international des cinémas d'Asie de Vesoul,http://www.cinemas-asie.com/,,9
http://www.wikidata.org/entity/Q106966816,Les Naturiales,,,10
http://www.wikidata.org/entity/Q107199015,Festival international du film d'animation d'Annecy 2021,,,11
http://www.wikidata.org/entity/Q109017606,Bordeaux Rock,,,12
http://www.wikidata.org/entity/Q109019462,Crest Jazz,https://crestjazz.com/,,13
http://www.wikidata.org/entity/Q109021400,Écrans mixtes,https://festival-em.org/,,14
http://www.wikidata.org/entity/Q109024174,Étoiles et Toiles du Cinéma européen,,,15
http://www.wikidata.org/entity/Q109037754,Festival de l'Europe autour de l'Europe,,,16
http://www.wikidata.org/entity/Q109037759,Festival du cinéma espagnol de Nantes,https://www.cinespagnol-nantes.com/,,17
http://www.wikidata.org/entity/Q109046181,Txiki Festival,http://txikiproductions.com/txiki-festival/,,18
http://www.wikidata.org/entity/Q109315336,Rock in Evreux,https://www.rockinevreux.org/,,19
http://www.wikidata.org/entity/Q10957,Festival Lumière,https://www.festival-lumiere.org/,,20
http://www.wikidata.org/entity/Q1101472,Festival Clin d’Œil,http://www.clin-doeil.eu,,21
http://www.wikidata.org/entity/Q110697398,La Nuit de l'Erdre,https://www.lanuitdelerdre.fr/,,22
http://www.wikidata.org/entity/Q111030240,Cherisy Manga,https://www.cherisymanga.fr/,,23
http://www.wikidata.org/entity/Q111208273,Court Métrange,https://courtmetrange.eu/,,24
http://www.wikidata.org/entity/Q111209021,Festival Africlap,,,25
http://www.wikidata.org/entity/Q111209023,Festival Corazón latino,https://festivalcorazonlatino.com/,,26
http://www.wikidata.org/entity/Q111209032,Festival ODP,,,27
http://www.wikidata.org/entity/Q111282776,Festival International des Textiles Extra ordinaires,,,28
http://www.wikidata.org/entity/Q111634875,Saint-Maur Food Trucks Festival,,,29
http://www.wikidata.org/entity/Q111740774,Sailorz Film Festival,https://www.tipandshaft.com/sailorz-film-festival/,,30
http://www.wikidata.org/entity/Q112133225,Arte Mare,http://www.arte-mare.corsica/,,31
http://www.wikidata.org/entity/Q112185961,PerformanceProcess 2015,,,32
http://www.wikidata.org/entity/Q112189848,Festival international d’art performance de Martinique,,,33
http://www.wikidata.org/entity/Q112192756,Q112192756,https://www.lespasseursdelivres.fr,,34
http://www.wikidata.org/entity/Q1125644,Les Siestes électroniques,http://www.les-siestes-electroniques.com/spip.php?lang=en,,35
http://www.wikidata.org/entity/Q113155529,Q113155529,,,36
http://www.wikidata.org/entity/Q113155530,Q113155530,,,37
http://www.wikidata.org/entity/Q113155531,Q113155531,,,38
http://www.wikidata.org/entity/Q113155532,Q113155532,,,39
http://www.wikidata.org/entity/Q113155533,Q113155533,,,40
http://www.wikidata.org/entity/Q113515213,Nuit Blanche Paris,,,41
http://www.wikidata.org/entity/Q113534244,Festival MÀD,https://lefestivalmad.fr/,,42
http://www.wikidata.org/entity/Q113813216,Zac en Scène,https://www.zacenscene.fr/,,43
http://www.wikidata.org/entity/Q113834050,carnaval de Romans-sur-Isère,,,44
http://www.wikidata.org/entity/Q113835810,Festival International Jean Rouch,https://www.comitedufilmethnographique.com/,,45
http://www.wikidata.org/entity/Q113840578,Reims Polar,https://reimspolar.com/,,46
http://www.wikidata.org/entity/Q114401075,Ciné salé,,,47
http://www.wikidata.org/entity/Q114556991,Elekt'Rhône,,,48
