id_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,geocodage_xy_festival,latitude_festival,longitude_festival,id_commune,GeoPoint_festival
2774,,10018,,,"48.0923181622, 3.92346188322",48.0923181622,3.92346188322,3160,POINT(3.92346188322 48.0923181622)
4158,,10018,,,"48.0923181622, 3.92346188322",48.0923181622,3.92346188322,3160,POINT(3.92346188322 48.0923181622)
4489,,10033,,,"48.2339751025, 4.71595700167",48.2339751025,4.71595700167,3175,POINT(4.71595700167 48.2339751025)
5028,,10033,,,"48.2339751025, 4.71595700167",48.2339751025,4.71595700167,3175,POINT(4.71595700167 48.2339751025)
2817,,1004,place Jules Ferry,,"45.9608475114, 5.3729257777",45.9608475114,5.3729257777,3,POINT(5.3729257777 45.9608475114)
5979,,1004,223 Rue Alexandre Bérard,Lycée Alexandre Bérard,"45.9608475114, 5.3729257777",45.9608475114,5.3729257777,3,POINT(5.3729257777 45.9608475114)
150,Départementale,1007,place Place Thollon,,"46.0055913782, 5.35760660735",46.0055913782,5.35760660735,6,POINT(5.35760660735 46.0055913782)
5398,,10080,,,"48.0548103736, 4.14007416764",48.0548103736,4.14007416764,3221,POINT(4.14007416764 48.0548103736)
5399,,10080,,,"48.0548103736, 4.14007416764",48.0548103736,4.14007416764,3221,POINT(4.14007416764 48.0548103736)
5765,,10081,,,"48.3161316832, 4.03517553523",48.3161316832,4.03517553523,3222,POINT(4.03517553523 48.3161316832)
1699,Régionale,1024,305 Rue Grande,Mairie,"46.2861802203, 5.1795233845",46.2861802203,5.1795233845,21,POINT(5.1795233845 46.2861802203)
6081,,1024,313 Chemin des Baudières,Centre Culturel - Espace Salvert,"46.2861802203, 5.1795233845",46.2861802203,5.1795233845,21,POINT(5.1795233845 46.2861802203)
3036,,1025,Lieu-dit du Petit Chavanet,Ferme de la Pérouze,"46.3233203302, 4.9528678933",46.3233203302,4.9528678933,22,POINT(4.9528678933 46.3233203302)
2982,,10289,,,"48.5851575322, 3.98528853809",48.5851575322,3.98528853809,3426,POINT(3.98528853809 48.5851575322)
4289,,1033,PLACE JEANNE d'ARC,CENTRE JEAN MARINET,"46.1067901755, 5.83202736464",46.1067901755,5.83202736464,30,POINT(5.83202736464 46.1067901755)
3227,,10333,,,"48.2782659904, 4.04840305057",48.2782659904,4.04840305057,3467,POINT(4.04840305057 48.2782659904)
5931,,1034,,Cour du palais épiscopal,"45.7494697806, 5.68412365526",45.7494697806,5.68412365526,31,POINT(5.68412365526 45.7494697806)
3564,,10357,,,"48.2913084954, 4.13302448391",48.2913084954,4.13302448391,3491,POINT(4.13302448391 48.2913084954)
3031,,10362,,,"48.2963408998, 4.02333022061",48.2963408998,4.02333022061,3496,POINT(4.02333022061 48.2963408998)
6037,,10362,,,"48.2963408998, 4.02333022061",48.2963408998,4.02333022061,3496,POINT(4.02333022061 48.2963408998)
2767,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
3259,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
3425,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
3736,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
4864,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
4895,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
5689,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
6523,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
7056,,10387,,,"48.2967099637, 4.07827967525",48.2967099637,4.07827967525,3520,POINT(4.07827967525 48.2967099637)
6552,,1044,100 Route des Etournelles,,"46.0791346715, 5.76591818163",46.0791346715,5.76591818163,41,POINT(5.76591818163 46.0791346715)
44,Communale,1053,4 Allée Des Brotteaux,Mcc 4 allée des Brotteaux,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
1394,Nationale,1053,20 Rue Lamartine,,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
1713,Régionale,1053,3 Rue de la Citadelle,,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
1934,,1053,14 Rue des Casernes,,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
2804,,1053,,Différents lieux :  Eglise de Brou Théatre Cloître de Brou,"46.204283, 5.22458",46.204283,5.22458,49,POINT(5.22458 46.204283)
2818,,1053,,Différents lieux : Chapelle du Lycée Lalande Maison de la Culture et de la Citoyenneté H2M La Tannerie,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
2933,,1053,,Monastère royal de Brou,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
2991,,1053,10 Rue paul pioda,,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
4533,,1053,,Différents lieux : L'école Alphonse Baudin Cie Passaros,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
4944,,1053,,A l’extérieur de la MCC,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
4959,,1053,13 Avenue Alsace lorraine,,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
4986,,1053,,Dans les rues de l'agglomération,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
5903,,1053,27 chemin des narcisses,Domaine de La Garde,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
5999,,1053,63 Boulevard de Brou,Monastère Royal de Brou,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
7169,,1053,Place de la Comédie,,"46.2051520382, 5.24602125501",46.2051520382,5.24602125501,49,POINT(5.24602125501 46.2051520382)
4985,,1054,Place de la Vinaigrerie,,"45.8861934456, 5.14349196896",45.8861934456,5.14349196896,50,POINT(5.14349196896 45.8861934456)
3897,,1072,Place Jean moulin,,"46.1832170988, 5.32007207542",46.1832170988,5.32007207542,65,POINT(5.32007207542 46.1832170988)
142,Départementale,1093,1 Rue des peupliers,,"46.1232390685, 4.95810003714",46.1232390685,4.95810003714,84,POINT(4.95810003714 46.1232390685)
1404,Nationale,1093,,Communauté de communes de la Dombes,"46.1232390685, 4.95810003714",46.1232390685,4.95810003714,84,POINT(4.95810003714 46.1232390685)
6356,,11005,24 Avenue de la malepere,Foyer,"43.1820306523, 2.2370439206",43.1820306523,2.2370439206,3580,POINT(2.2370439206 43.1820306523)
5211,,11049,Avenue Clémenceau,Parc Des Essarts,"43.2514206471, 2.11029895207",43.2514206471,2.11029895207,3624,POINT(2.11029895207 43.2514206471)
3971,,11064,10 Rue des  Ecoles,,"43.1336113618, 2.65379340398",43.1336113618,2.65379340398,3638,POINT(2.65379340398 43.1336113618)
