auteur_edifice,personne_liee_a_edifice,id_monument_historique
,,2
FORTIER Aristide (architecte),,36473
,,1
,,3
,,5
,,4
,,37322
,,6
,,35889
,,7
,,8
,,273
,,9
,,10
Lorillard (architecte),,11
,,314
,,12
,,13
,,14
,,15
,,36
,,35
,,37
,,35477
,,27
,,29
,,18
,,17
,,25
,,26
,,20
,,28
,,22
,,23
,,24
,,21
,,16
,,19
,,30
,,31
,,34
,,32
,,35888
,,33
,,35478
,,38
,,39
,,304
,,40
,,41
,,274
,,42
,,43
,,44
,,48
,,46
,,45
,,47
,,53
,,55
,,51
,,52
GARREL (architecte);ROCHET Louis (sculpteur),,36474
,,49
,,50
,,54
,,37325
Lassus Jean-Baptiste (architecte);Vivet Charles (décorateur),,56
,,37315
,,57
,,58
,,37319
,,37330
,,59
,,60
,,61
,,62
,,63
,,64
,,65
,,66
,,67
Durand Nicolas (maître de l'oeuvre),,68
,,69
,,307
,,70
,,71
,,72
,,73
,,74
,,75
,,76
,,77
,,78
,,79
,,80
,,81
,,82
,,84
MANSART François (architecte),,83
,,85
,,86
,,87
Chauvet Louis (architecte),,88
,,89
,,90
,,91
,,93
,,94
,,92
,,95
,,308
,,96
,,97
,,99
,,37331
,,100
,,101
,,104
,,103
,,102
DUFOUR (architecte paysagiste),GRUNDLER Louis-Sébastien (habitant célèbre),37318
,,37324
,,37337
Vaudé Jean-Baptiste (architecte),,37338
,,105
,,106
DURAND Nicolas (architecte),,107
,,108
,,109
,,37329
,,35890
,,110
,,112
,,111
,,113
,,114
,,37323
,,115
,,116
,,37326
,,117
,,118
,,123
,,119
,,121
,,120
,,122
,,124
,,125
,,37339
,,37305
,,37314
,,126
,,127
,,128
,,129
,,130
,,36475
,,132
,,131
,,133
,,134
,,135
,,137
,,136
Guimard Hector (architecte),,37336
,,138
,,139
,,140
,,37306
,,37307
,,141
,,142
,,143
,,144
,,37320
,,145
,,146
,,147
,,148
,,37308
,,150
Lancret François-Nicolas (architecte),,149
,,151
,,152
,,153
,,155
,,154
,,156
,,37327
,,37309
,,158
Boucher Alfred (sculpteur),,37333
,,159
,,160
,,157
,,161
,,163
,,162
,,37335
,,164
,,309
,,165
,,167
,,166
,,168
,,169
,,170
,,171
,,37334
,,173
,,172
,,174
,,175
,,176
,,177
,,178
,,180
,,179
,,181
BIENNOURY (peintre);ERDMANN (peintre-verrier);KREMER (peintre-verrier),,37321
,,305
,,182
,,192
,,183
,,188
,,187
,,186
AUBERT Pierre (architecte);VEZIEN Pierre (architecte);GERDY Pierre (entrepreneur),,37310
,,190
,,184
,,185
,,189
,,191
,,36476
,,193
,,194
,,195
,,196
,,197
,,198
,,200
,,199
,,201
,,36477
,,35479
,,202
,,203
,,204
,,205
,,206
,,207
