id_festival,discipline_dominante_festival,sous-categorie_spectacle_vivant,sous-categorie_musique,sous-categorie_cinema_et_audiovisuel,sous-categorie_arts_visuels_et_numeriques,sous-categorie_livre_et_litterature
2817,Spectacle vivant,Musique,"Chanson ou variété française, jazz, blues, Hip-hop, rap, slam, Métal, hard rock, Musiques du monde, Musiques électroniques, techno, Musiques traditionnelles, Pop, rock",,,
5979,Spectacle vivant,Théâtre,,,,
150,Musique,,Musique baroque,,,
1699,Musique,,"Pop, rock",,,
6081,Musique,,Rockabilly - Country - R'n'R - Rhythm & Blues,,,
3036,Musique,,Musiques actuelles,,,
4289,"Livre, littérature",,,,,"Bande dessinée, comics, manga"
5931,Pluridisciplinaire,,,,,
6552,Musique,,Musiques amplifiées ou électroniques,,,
44,Spectacle vivant,Danse,,,,
1394,Spectacle vivant,Cirque,,,,
1713,"Cinéma, audiovisuel",,,Court métrage,,
1934,Musique,,Musique contemporaine,,,
2804,Musique,,Art lyrique ; Musique savante,,,
2818,"Arts visuels, arts numériques",,,,Photographie,
2933,Musique,,,,,
2991,"Cinéma, audiovisuel",,,"Court métrage, film d'animation",,
4533,Spectacle vivant,Danse,,,,
4944,Musique,,Musiques actuelles,,,
4959,Musique,,Opéra,,,
4986,"Arts visuels, arts numériques",,,,Sculpture,
5903,Musique,,Musique classique,,,
5999,Musique,,Musiques diverses,,,
7169,"Cinéma, audiovisuel",,,Fiction long métrage,,
4985,"Arts visuels, arts numériques",,,,,
3897,Musique,,Musiques diverses,,,
142,Spectacle vivant,Arts du cirque,,,,
1404,Musique,,"jazz, blues, Musique classique, Musique contemporaine, Musiques du monde",,,
2930,Musique,,"Pop, rock",,,
2895,Musique,,"Chanson ou variété française, Hip-hop, rap, slam, Métal, hard rock, Musique contemporaine, Musiques du monde, Pop, rock, RnB, Variétés internationales",,,
1069,"Livre, littérature",,,,,
5584,Musique,,Musiques amplifiées ou électroniques,,,
5935,Musique,,"jazz, blues et musiques improvisées",,,
5957,"Arts visuels, arts numériques",,,,Sculpture,
16,Spectacle vivant,,,,,
768,"Livre, littérature",,,,,
3001,"Cinéma, audiovisuel",,,,,
4910,Musique,,Musique classique,,,
4973,Musique,,"Pop, rock",,,
6056,"Cinéma, audiovisuel",,,Fiction long métrage,,
7069,Musique,,Musique classique,,,
45,Spectacle vivant,Arts de la rue,,,,
624,"Arts visuels, arts numériques",,,,Photographie,
6937,Musique,,"Chanson ou variété française, Hip-hop, rap, slam, Métal, hard rock, Musiques du monde, Musiques électroniques, techno, Pop, rock, Variétés internationales",,,
1910,Pluridisciplinaire,,,Documentaire,Photographie,
6639,Spectacle vivant,Théâtre,,,,
6112,"Arts visuels, arts numériques",,,,Divers,
5711,Spectacle vivant,Marionnettes et théâtre d’objet,,,,
6045,Musique,,"jazz, blues",,,
4949,Musique,,Musiques amplifiées ou électroniques,,,
6014,Musique,,"jazz, blues et musiques improvisées",,,
6984,Musique,,Musique classique,,,
607,"Livre, littérature",,,,,
5277,"Cinéma, audiovisuel",,,Documentaire,,
6434,"Cinéma, audiovisuel",,,Film d'animation,,
1228,"Livre, littérature",,,,,
4218,Musique,,"Pop, rock",,,
